ref,mark_usd,mark_source,confidence,n_sources,spread_pct,as_of,msrp_usd
118235FA,37093.93,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
118238ACH,26199.58,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
118238DIA,41876.81,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
118238NGR,30397.89,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
118239,23382.99,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
118239A,26773.53,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
118239ASVO,24339.57,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
118348ZEA,45553.88,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
118389,31567.04,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
118399BR,44533.97,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
119901,6897.99,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
12.30.36.20.01.001,2947.0,manual_check,VERIFIED,1,0.0,2026-08-09,
12.30.36.20.01.002,3050.0,manual_check,VERIFIED,1,0.0,2026-08-09,
12.30.41.20.01.002,3148.0,manual_check,VERIFIED,1,0.0,2026-08-09,
12.30.41.20.01.003,3364.0,manual_check,VERIFIED,1,0.0,2026-08-09,
12.30.41.20.01.005,4787.0,manual_check,VERIFIED,1,0.0,2026-08-09,
12.30.41.20.03.001,3315.0,manual_check,VERIFIED,1,0.0,2026-08-09,
12.30.41.61.01.001,2573.0,manual_check,VERIFIED,1,0.0,2026-08-09,
12.30.44.50.01.001,4019.0,manual_check,VERIFIED,1,0.0,2026-08-09,
12.32.41.20.04.001,5492.0,manual_check,VERIFIED,1,0.0,2026-08-09,
12000201,12159.15,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
1205F000RB622,10288.52,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
1205V100AB590,13616.0,manual_check,VERIFIED,2,9.0,2026-08-09,
1205V100AB591,13219.0,manual_check,VERIFIED,1,0.0,2026-08-09,
12081,1219.9,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
121.32.44.52.01.001,4276.76,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
1225V200RH031,44497.89,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
123.10.24.60.02.002,1169.15,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
123.10.24.60.51.001,1317.95,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
123.10.24.60.55.002,1286.71,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
123.10.27.20.57.001,2536.2,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
123.10.27.60.57.001,1636.81,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
123.10.35.20.01.001,2553.95,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
123.10.35.20.02.001,1519.9,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
123.10.35.20.52.001,1753.73,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
123.10.38.21.01.001,2513.67,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
123.10.38.21.52.001,8091.0,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
123.13.35.60.52.001,2106.62,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
123.15.24.60.01.001,2748.75,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
123.15.24.60.03.001,2106.62,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
123.15.24.60.05.001,2911.07,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
123.15.24.60.05.003,1531.29,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
123.15.24.60.55.001,1377.11,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
123.15.24.60.55.005,1894.9,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
123.15.24.60.57.001,2775.8,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
123.15.27.20.57.002,3887.53,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
123.15.27.20.57.003,3776.14,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
123.15.27.60.52.001,2261.76,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
123.15.35.20.02.001,4329.69,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
123.18.35.20.56.001,6800.97,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
